customer_id,signup_date,plan_type,contract_type,monthly_fee,payment_method,region,is_active,cancel_date,churn,cutoff_date,observation_window_end,tenure_days
1,2025-04-07,Standard,Monthly,19.99,bank_transfer,Europe,1,,0,2025-12-31,2025-12-31,268
2,2025-07-27,Standard,Monthly,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,157
3,2023-04-27,Premium,Monthly,39.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,979
4,2025-08-27,Standard,Monthly,19.99,apple_pay,South America,1,,0,2025-12-31,2025-12-31,126
5,2023-03-22,Standard,Monthly,19.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,1015
6,2023-09-22,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,831
7,2025-07-24,Standard,Monthly,19.99,bank_transfer,Asia,1,,0,2025-12-31,2025-12-31,160
8,2024-12-13,Basic,Monthly,9.99,paypal,North America,0,2025-11-05,1,2025-11-05,2025-12-31,327
9,2025-10-25,Standard,Annual,19.99,bank_transfer,Europe,1,,0,2025-12-31,2025-12-31,67
10,2025-08-11,Basic,Monthly,9.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,142
11,2023-09-01,Standard,Monthly,19.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,852
12,2023-03-27,Premium,Monthly,39.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,1010
13,2025-01-01,Standard,Monthly,19.99,credit_card,Asia,0,2025-07-02,1,2025-07-02,2025-12-31,182
14,2025-10-09,Standard,Monthly,19.99,credit_card,Europe,0,2025-12-12,1,2025-12-12,2025-12-31,64
15,2023-11-11,Basic,Monthly,9.99,paypal,North America,0,2024-12-11,1,2024-12-11,2025-12-31,396
16,2025-07-02,Premium,Monthly,39.99,credit_card,Oceania,1,,0,2025-12-31,2025-12-31,182
17,2025-06-22,Basic,Monthly,9.99,credit_card,South America,0,2025-10-14,1,2025-10-14,2025-12-31,114
18,2024-06-09,Standard,Monthly,19.99,bank_transfer,Asia,1,,0,2025-12-31,2025-12-31,570
19,2023-10-18,Standard,Monthly,19.99,credit_card,Europe,0,2024-08-22,1,2024-08-22,2025-12-31,309
20,2024-06-08,Basic,Monthly,9.99,paypal,North America,1,,0,2025-12-31,2025-12-31,571
21,2024-08-25,Basic,Monthly,9.99,credit_card,South America,1,,0,2025-12-31,2025-12-31,493
22,2024-06-20,Standard,Monthly,19.99,apple_pay,Europe,1,,0,2025-12-31,2025-12-31,559
23,2024-10-21,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,436
24,2023-06-29,Standard,Monthly,19.99,paypal,North America,1,,0,2025-12-31,2025-12-31,916
25,2025-03-02,Standard,Monthly,19.99,apple_pay,North America,1,,0,2025-12-31,2025-12-31,304
26,2025-09-24,Premium,Annual,39.99,credit_card,South America,1,,0,2025-12-31,2025-12-31,98
27,2024-12-27,Basic,Annual,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,369
28,2024-08-08,Standard,Annual,19.99,bank_transfer,Europe,1,,0,2025-12-31,2025-12-31,510
29,2024-10-04,Standard,Monthly,19.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,453
30,2025-02-03,Basic,Annual,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,331
31,2024-06-02,Basic,Monthly,9.99,bank_transfer,Oceania,0,2025-05-29,1,2025-05-29,2025-12-31,361
32,2024-12-29,Basic,Monthly,9.99,paypal,North America,1,,0,2025-12-31,2025-12-31,367
33,2024-05-26,Basic,Annual,9.99,paypal,Asia,1,,0,2025-12-31,2025-12-31,584
34,2024-05-24,Premium,Monthly,39.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,586
35,2023-12-16,Premium,Monthly,39.99,paypal,Europe,0,2025-07-29,1,2025-07-29,2025-12-31,591
36,2025-06-09,Premium,Monthly,39.99,apple_pay,Asia,1,,0,2025-12-31,2025-12-31,205
37,2024-07-10,Basic,Monthly,9.99,bank_transfer,Asia,1,,0,2025-12-31,2025-12-31,539
38,2025-03-05,Premium,Monthly,39.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,301
39,2023-01-06,Premium,Monthly,39.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,1090
40,2023-09-21,Basic,Monthly,9.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,832
41,2024-07-17,Premium,Monthly,39.99,credit_card,North America,0,2025-01-12,1,2025-01-12,2025-12-31,179
42,2023-07-23,Basic,Monthly,9.99,paypal,Europe,1,,0,2025-12-31,2025-12-31,892
43,2024-09-20,Premium,Annual,39.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,467
44,2023-03-18,Standard,Monthly,19.99,credit_card,North America,0,2025-01-01,1,2025-01-01,2025-12-31,655
45,2023-07-26,Basic,Annual,9.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,889
46,2023-04-11,Standard,Monthly,19.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,995
47,2025-02-16,Premium,Monthly,39.99,credit_card,Europe,0,2025-07-08,1,2025-07-08,2025-12-31,142
48,2023-09-30,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,823
49,2024-11-27,Basic,Annual,9.99,apple_pay,Europe,1,,0,2025-12-31,2025-12-31,399
50,2023-08-31,Premium,Monthly,39.99,bank_transfer,Europe,1,,0,2025-12-31,2025-12-31,853
51,2024-01-16,Basic,Monthly,9.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,715
52,2023-02-11,Standard,Monthly,19.99,apple_pay,North America,1,,0,2025-12-31,2025-12-31,1054
53,2023-02-12,Standard,Annual,19.99,apple_pay,North America,1,,0,2025-12-31,2025-12-31,1053
54,2024-06-26,Standard,Monthly,19.99,paypal,Europe,1,,0,2025-12-31,2025-12-31,553
55,2024-07-07,Standard,Monthly,19.99,paypal,South America,0,2025-10-05,1,2025-10-05,2025-12-31,455
56,2025-07-03,Standard,Monthly,19.99,bank_transfer,Europe,1,,0,2025-12-31,2025-12-31,181
57,2024-12-12,Standard,Monthly,19.99,credit_card,North America,0,2025-05-02,1,2025-05-02,2025-12-31,141
58,2023-02-22,Basic,Monthly,9.99,paypal,Europe,1,,0,2025-12-31,2025-12-31,1043
59,2023-03-08,Basic,Annual,9.99,paypal,South America,0,2024-06-16,1,2024-06-16,2025-12-31,466
60,2023-06-04,Basic,Monthly,9.99,paypal,North America,1,,0,2025-12-31,2025-12-31,941
61,2024-05-16,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,594
62,2023-03-26,Premium,Annual,39.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,1011
63,2023-05-22,Standard,Monthly,19.99,credit_card,South America,1,,0,2025-12-31,2025-12-31,954
64,2025-10-02,Standard,Monthly,19.99,apple_pay,Europe,0,2025-11-16,1,2025-11-16,2025-12-31,45
65,2025-10-27,Standard,Annual,19.99,credit_card,Asia,0,2025-12-25,1,2025-12-25,2025-12-31,59
66,2023-07-26,Standard,Monthly,19.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,889
67,2024-07-25,Standard,Annual,19.99,paypal,Asia,1,,0,2025-12-31,2025-12-31,524
68,2025-05-25,Basic,Annual,9.99,apple_pay,Europe,0,2025-07-30,1,2025-07-30,2025-12-31,66
69,2024-02-02,Premium,Annual,39.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,698
70,2024-07-27,Standard,Annual,19.99,paypal,Europe,1,,0,2025-12-31,2025-12-31,522
71,2025-06-04,Standard,Monthly,19.99,paypal,South America,0,2025-10-07,1,2025-10-07,2025-12-31,125
72,2024-05-24,Standard,Monthly,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,586
73,2023-06-15,Standard,Monthly,19.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,930
74,2025-03-21,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,285
75,2025-02-19,Standard,Monthly,19.99,paypal,North America,1,,0,2025-12-31,2025-12-31,315
76,2023-08-09,Standard,Monthly,19.99,paypal,Asia,1,,0,2025-12-31,2025-12-31,875
77,2024-05-13,Standard,Monthly,19.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,597
78,2023-06-18,Basic,Annual,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,927
79,2023-11-01,Basic,Annual,9.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,791
80,2023-05-29,Standard,Monthly,19.99,credit_card,South America,1,,0,2025-12-31,2025-12-31,947
81,2023-03-19,Basic,Monthly,9.99,paypal,North America,0,2025-04-01,1,2025-04-01,2025-12-31,744
82,2023-03-24,Standard,Monthly,19.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,1013
83,2023-01-12,Premium,Monthly,39.99,credit_card,North America,0,2025-08-20,1,2025-08-20,2025-12-31,951
84,2023-09-11,Standard,Monthly,19.99,credit_card,South America,0,2025-05-13,1,2025-05-13,2025-12-31,610
85,2025-03-05,Standard,Monthly,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,301
86,2024-02-05,Standard,Monthly,19.99,paypal,Asia,1,,0,2025-12-31,2025-12-31,695
87,2025-09-02,Basic,Annual,9.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,120
88,2024-03-08,Premium,Monthly,39.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,663
89,2024-06-03,Basic,Annual,9.99,paypal,North America,1,,0,2025-12-31,2025-12-31,576
90,2025-06-07,Basic,Annual,9.99,credit_card,North America,0,2025-10-29,1,2025-10-29,2025-12-31,144
91,2023-05-06,Standard,Monthly,19.99,apple_pay,Europe,1,,0,2025-12-31,2025-12-31,970
92,2024-06-25,Standard,Annual,19.99,bank_transfer,Asia,1,,0,2025-12-31,2025-12-31,554
93,2025-07-13,Basic,Monthly,9.99,paypal,Oceania,1,,0,2025-12-31,2025-12-31,171
94,2023-01-16,Standard,Monthly,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,1080
95,2025-08-17,Premium,Monthly,39.99,apple_pay,Europe,0,2025-12-13,1,2025-12-13,2025-12-31,118
96,2025-09-05,Premium,Annual,39.99,bank_transfer,North America,0,2025-11-16,1,2025-11-16,2025-12-31,72
97,2023-09-27,Standard,Annual,19.99,bank_transfer,Asia,1,,0,2025-12-31,2025-12-31,826
98,2023-09-27,Basic,Monthly,9.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,826
99,2025-02-11,Basic,Monthly,9.99,bank_transfer,Europe,1,,0,2025-12-31,2025-12-31,323
100,2025-02-28,Premium,Monthly,39.99,paypal,North America,1,,0,2025-12-31,2025-12-31,306
101,2024-08-18,Basic,Monthly,9.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,500
102,2023-07-19,Basic,Monthly,9.99,paypal,Oceania,1,,0,2025-12-31,2025-12-31,896
103,2025-07-18,Basic,Annual,9.99,credit_card,North America,0,2025-10-15,1,2025-10-15,2025-12-31,89
104,2024-07-24,Basic,Monthly,9.99,paypal,North America,1,,0,2025-12-31,2025-12-31,525
105,2024-08-23,Standard,Monthly,19.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,495
106,2025-10-07,Standard,Annual,19.99,paypal,Europe,1,,0,2025-12-31,2025-12-31,85
107,2024-12-26,Basic,Annual,9.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,370
108,2025-02-10,Basic,Monthly,9.99,apple_pay,Europe,1,,0,2025-12-31,2025-12-31,324
109,2023-07-12,Basic,Monthly,9.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,903
110,2025-01-01,Basic,Monthly,9.99,apple_pay,North America,1,,0,2025-12-31,2025-12-31,364
111,2025-09-20,Standard,Monthly,19.99,credit_card,North America,0,2025-12-10,1,2025-12-10,2025-12-31,81
112,2024-09-29,Standard,Monthly,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,458
113,2025-01-21,Basic,Annual,9.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,344
114,2024-06-12,Standard,Annual,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,567
115,2024-06-19,Standard,Monthly,19.99,credit_card,South America,1,,0,2025-12-31,2025-12-31,560
116,2025-09-12,Basic,Monthly,9.99,credit_card,South America,0,2025-12-27,1,2025-12-27,2025-12-31,106
117,2025-04-20,Basic,Monthly,9.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,255
118,2023-04-18,Basic,Annual,9.99,paypal,North America,1,,0,2025-12-31,2025-12-31,988
119,2023-08-24,Premium,Monthly,39.99,paypal,Oceania,1,,0,2025-12-31,2025-12-31,860
120,2024-05-17,Basic,Annual,9.99,paypal,North America,1,,0,2025-12-31,2025-12-31,593
121,2024-08-30,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,488
122,2025-03-02,Standard,Monthly,19.99,bank_transfer,Europe,0,2025-06-14,1,2025-06-14,2025-12-31,104
123,2023-03-20,Basic,Monthly,9.99,apple_pay,North America,1,,0,2025-12-31,2025-12-31,1017
124,2025-10-15,Basic,Annual,9.99,bank_transfer,Europe,1,,0,2025-12-31,2025-12-31,77
125,2023-01-25,Basic,Monthly,9.99,credit_card,Europe,0,2025-08-22,1,2025-08-22,2025-12-31,940
126,2025-04-24,Basic,Annual,9.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,251
127,2024-04-07,Standard,Monthly,19.99,bank_transfer,Oceania,1,,0,2025-12-31,2025-12-31,633
128,2023-03-04,Basic,Annual,9.99,paypal,Europe,1,,0,2025-12-31,2025-12-31,1033
129,2025-07-27,Standard,Monthly,19.99,apple_pay,North America,0,2025-12-22,1,2025-12-22,2025-12-31,148
