customer_id,total_logins,logins_last_30d,logins_prev_30d,engagement_trend,avg_session_minutes,session_minutes_trend,active_days,days_since_last_activity,total_purchases,purchases_last_30d,purchases_prev_30d,purchase_frequency,purchase_frequency_trend,avg_order_value,total_spend,spend_trend,distinct_product_categories,activity_gap_std,coefficient_of_variation_sessions,active_weeks_ratio,tenure_months,recency_days,support_tickets_count,late_or_missed_payments,plan_type,contract_type,monthly_fee,payment_method,region,churn
1,163,20.0,18,0.10526315789473684,41.13680981595092,0.08472434384113296,171,1,24.0,2.0,1.0,2.7259701492537314,0.5,34.44416666666667,826.6600000000001,4.46164383561644,6,0.8553795696325676,0.22890039683226826,1.0,8.804204993429698,1,1.0,0,Standard,Monthly,19.99,bank_transfer,Europe,0
2,85,15.0,20,-0.23809523809523808,21.236470588235292,-0.10637408568443057,94,3,14.0,4.0,6.0,2.7143949044585987,-0.2857142857142857,55.52285714285715,777.32,-0.6418536298618596,6,1.146778319580118,0.2806211724454359,1.0,5.157687253613666,3,3.0,0,Standard,Monthly,19.99,credit_card,North America,0
3,614,18.0,16,0.11764705882352941,45.148697068403905,0.00022190521477256158,636,1,86.0,5.0,0.0,2.673993871297242,5.0,47.44639534883721,4080.39,0.0,6,0.9546538213545739,0.24663521758940712,1.0,32.16162943495401,1,3.0,0,Premium,Monthly,39.99,credit_card,Europe,0
4,74,17.0,18,-0.05263157894736842,22.48918918918919,-0.06350775062614232,76,2,7.0,2.0,2.0,1.691111111111111,0.0,16.83857142857143,117.87,-0.48772579898100976,6,1.0199805686190109,0.2176524545022791,1.0,4.139290407358739,2,0.0,0,Standard,Monthly,19.99,apple_pay,South America,0
5,360,8.0,9,-0.1,31.680555555555557,0.03298153034300789,423,3,94.0,2.0,7.0,2.819073891625616,-0.625,30.684042553191492,2884.3,-0.3383645616470044,6,2.0001575964295593,0.2654799544573939,0.9655172413793104,33.3442838370565,3,11.0,0,Standard,Monthly,19.99,credit_card,Europe,0
6,246,9.0,8,0.1111111111111111,15.309349593495934,0.09188773548635151,275,4,47.0,3.0,2.0,1.7216365824308064,0.3333333333333333,26.064893617021276,1225.05,2.730831973898858,6,2.6179126197895433,0.28046020598434973,0.9350180505415163,27.299605781865964,4,7.0,0,Basic,Monthly,9.99,credit_card,North America,0
7,96,16.0,12,0.3076923076923077,19.635416666666668,0.08932414980628485,105,1,16.0,4.0,3.0,3.044,0.25,47.083124999999995,753.3299999999999,-0.21157856686038437,6,0.9132969271121204,0.24105066507100387,1.0,5.256241787122208,1,1.0,0,Standard,Monthly,19.99,bank_transfer,Asia,0
8,185,13.0,17,-0.2222222222222222,37.69027027027027,-0.058750144688951095,200,6,23.0,0.0,0.0,2.1410397553516822,0.0,34.12608695652174,784.9,0.0,6,0.9466238137931895,0.30791392795515005,1.0,10.74244415243101,6,3.0,0,Basic,Monthly,9.99,paypal,North America,1
9,42,20.0,19,0.05,27.445238095238096,0.04607547169811318,45,1,6.0,2.0,3.0,2.7259701492537314,-0.25,47.75833333333333,286.55,-0.36163779527559053,6,0.7299106493437193,0.2515316763209325,1.0,2.2010512483574245,1,1.0,0,Standard,Annual,19.99,bank_transfer,Europe,0
10,50,10.0,9,0.1,37.014,0.09373151981076296,55,3,6.0,0.0,2.0,1.2861971830985914,-0.6666666666666666,26.595,159.57,0.0,6,2.034726470541712,0.2785724329202383,0.9859154929577465,4.664914586070959,3,2.0,0,Basic,Monthly,9.99,credit_card,Europe,0
11,426,15.0,17,-0.1111111111111111,24.743192488262913,-0.07576227390180877,465,2,74.0,2.0,4.0,2.6438497652582162,-0.4,43.649324324324326,3230.05,-0.8534170819963133,6,1.2466365712372864,0.25373967922977436,1.0,27.989487516425754,2,9.0,0,Standard,Monthly,19.99,credit_card,Europe,0
12,430,12.0,13,-0.07142857142857142,21.928372093023256,0.0668793033616849,479,2,78.0,3.0,1.0,2.350811881188119,1.0,34.44217948717949,2686.4900000000002,17.166666666666668,6,1.5623606663137204,0.24983308208932017,0.9910891089108912,33.18002628120893,2,12.0,0,Premium,Monthly,39.99,credit_card,North America,0
13,102,7.0,15,-0.5,35.069607843137256,-0.38106044976273984,109,7,19.0,2.0,4.0,3.177802197802198,-0.4,64.66631578947369,1228.66,-0.05346127484578486,6,1.1992194877153077,0.32383680487976724,1.0,5.978975032851511,7,8.0,0,Standard,Monthly,19.99,credit_card,Asia,1
14,18,6.0,11,-0.4166666666666667,36.25555555555556,-0.189486830154405,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.9266635401296446,0.28104212206368673,0.984375,2.102496714848883,2,2.0,0,Standard,Monthly,19.99,credit_card,Europe,1
15,233,21.0,17,0.2222222222222222,38.013304721030046,0.004789681914070892,246,1,31.0,3.0,0.0,2.382929292929293,3.0,36.020322580645164,1116.63,0.0,6,1.0089429492664788,0.24769253343132788,1.0,13.009198423127463,1,2.0,0,Basic,Monthly,9.99,paypal,North America,1
16,123,23.0,22,0.043478260869565216,22.715447154471544,-0.04365921466054709,124,1,14.0,4.0,1.0,2.3415384615384616,1.5,29.46357142857143,412.49,16.805577689243023,6,0.8329800663983061,0.26266471827380106,1.0,5.978975032851511,1,1.0,0,Premium,Monthly,39.99,credit_card,Oceania,0
17,35,8.0,7,0.125,25.365714285714283,-0.20744943265910198,40,13,9.0,0.0,0.0,2.403157894736842,0.0,16.022222222222222,144.2,0.0,6,1.5191090506255,0.29361433116890057,0.9210526315789475,3.7450722733245727,13,1.0,0,Basic,Monthly,9.99,credit_card,South America,1
18,248,18.0,14,0.26666666666666666,31.9741935483871,-0.1428900620077091,283,2,81.0,4.0,5.0,4.325684210526316,-0.16666666666666666,29.869753086419752,2419.45,-0.3501486620416253,6,1.4428225662478253,0.2461689813195352,1.0,18.725361366622863,2,2.0,0,Standard,Monthly,19.99,bank_transfer,Asia,0
19,178,10.0,18,-0.42105263157894735,41.41179775280899,-0.2994311416854081,187,3,25.0,0.0,0.0,2.462783171521036,0.0,41.9868,1049.67,0.0,6,1.01112670616773,0.25603561593803675,1.0,10.151116951379763,3,2.0,0,Standard,Monthly,19.99,credit_card,Europe,1
20,349,17.0,20,-0.14285714285714285,17.65730659025788,0.06866002214839435,361,1,35.0,3.0,3.0,1.8658493870402804,0.0,46.367714285714285,1622.87,-0.3723582180325376,6,0.9164239570639672,0.24312400692413116,1.0,18.758212877792378,1,4.0,0,Basic,Monthly,9.99,paypal,North America,0
21,220,6.0,11,-0.4166666666666667,34.516363636363636,-0.1573803730738038,240,4,39.0,0.0,0.0,2.408032454361055,0.0,48.955897435897434,1909.28,0.0,6,1.5804660038365512,0.2597994757909255,0.9939148073022313,16.1957950065703,4,1.0,0,Basic,Monthly,9.99,credit_card,South America,0
22,324,18.0,15,0.1875,20.48827160493827,-0.006030201682375566,353,1,74.0,5.0,5.0,4.029624329159213,0.0,36.612297297297296,2709.31,2.1620075046904317,6,1.0424647292511684,0.2338615461295741,1.0,18.363994743758212,1,4.0,0,Standard,Monthly,19.99,apple_pay,Europe,0
23,126,8.0,10,-0.18181818181818182,22.813492063492063,-0.14505428226779246,175,1,58.0,5.0,3.0,4.049357798165138,0.5,39.45620689655173,2288.46,-0.19321551899248426,6,2.0450136735130875,0.23452655732971034,0.9954128440366973,14.323258869908015,1,9.0,0,Basic,Monthly,9.99,credit_card,North America,0
24,267,10.0,6,0.5714285714285714,27.69625468164794,-0.10277324632952697,349,1,122.0,3.0,3.0,4.0542358078602625,0.0,42.379590163934424,5170.3099999999995,-0.5227107488615925,6,2.128059270377533,0.25781163282381114,0.962882096069869,30.091984231274637,1,12.0,0,Standard,Monthly,19.99,paypal,North America,0
25,136,13.0,10,0.2727272727272727,31.373529411764707,0.038591038591038636,161,2,43.0,1.0,5.0,4.305657894736842,-0.6666666666666666,28.304883720930235,1217.1100000000001,-0.9196476241324079,6,1.3411133082854623,0.2674126383080794,1.0,9.986859395532194,2,1.0,0,Standard,Monthly,19.99,apple_pay,North America,0
26,30,7.0,11,-0.3333333333333333,29.970000000000002,0.0435828440965425,41,2,14.0,3.0,9.0,4.348571428571429,-0.6,38.63642857142857,540.91,-0.8326278738192836,6,1.849289537869015,0.347249413014095,1.0,3.219448094612352,2,3.0,0,Premium,Annual,39.99,credit_card,South America,0
27,177,14.0,13,0.07142857142857142,23.010169491525424,0.1289256635296606,196,2,35.0,3.0,3.0,2.8872628726287264,0.0,29.25342857142857,1023.87,-0.6404304573609461,6,1.2441350646984692,0.28675227562981204,1.0,12.12220762155059,2,0.0,0,Basic,Annual,9.99,credit_card,North America,0
28,318,14.0,24,-0.4,28.053773584905663,0.07668825543500682,336,1,51.0,4.0,3.0,3.044,0.25,42.950784313725485,2190.49,-0.006084688935800259,6,1.0201911887816462,0.27051081708103464,1.0,16.754270696452036,1,4.0,0,Standard,Annual,19.99,bank_transfer,Europe,0
29,260,14.0,16,-0.11764705882352941,17.564615384615387,-0.0734619710997664,277,1,44.0,4.0,2.0,2.956644591611479,0.6666666666666666,36.478863636363634,1605.07,0.7426265135051227,6,1.0300363911347616,0.2689229352632895,1.0,14.88173455978975,1,2.0,0,Standard,Monthly,19.99,credit_card,Asia,0
30,206,19.0,21,-0.09090909090909091,39.15970873786408,-0.06811422573308752,219,1,33.0,3.0,1.0,3.0348036253776436,1.0,40.97666666666667,1352.23,20.000000000000004,6,0.8705597425914416,0.2606225589817016,1.0,10.873850197109066,1,3.0,0,Basic,Annual,9.99,credit_card,North America,0
31,186,11.0,15,-0.25,23.498924731182797,-0.2896323442487291,196,1,14.0,1.0,0.0,1.1804986149584489,1.0,32.02142857142857,448.3,0.0,6,1.3069690587535934,0.2836470506529361,1.0,11.85939553219448,1,8.0,0,Basic,Monthly,9.99,bank_transfer,Oceania,1
32,188,14.0,14,0.0,39.28031914893617,0.09036377708978338,201,4,30.0,0.0,0.0,2.488283378746594,0.0,40.80766666666667,1224.23,0.0,6,1.3340439898422283,0.2638621206028811,1.0,12.056504599211562,4,4.0,0,Basic,Monthly,9.99,paypal,North America,0
33,268,19.0,19,0.0,41.44179104477612,-0.10955997319633695,303,1,71.0,3.0,2.0,3.700753424657534,0.3333333333333333,28.608732394366196,2031.22,0.038814742255418165,6,1.6359131225453483,0.2602546823990441,0.9948630136986301,19.185282522996058,1,5.0,0,Basic,Annual,9.99,paypal,Asia,0
34,252,11.0,15,-0.25,23.586111111111112,0.16650922427206033,266,1,32.0,3.0,2.0,1.6622525597269626,0.3333333333333333,29.6996875,950.39,-0.5426225549384206,6,1.5722089721248034,0.2426015680247384,1.0,19.250985545335084,1,7.0,0,Premium,Monthly,39.99,credit_card,Europe,0
