customer_id,signup_date,plan_type,contract_type,monthly_fee,payment_method,region,is_active,cancel_date
1,2025-04-07,Standard,Monthly,19.99,bank_transfer,Europe,1,
2,2025-07-27,Standard,Monthly,19.99,credit_card,North America,1,
3,2023-04-27,Premium,Monthly,39.99,credit_card,Europe,1,
4,2025-08-27,Standard,Monthly,19.99,apple_pay,South America,1,
5,2023-03-22,Standard,Monthly,19.99,credit_card,Europe,1,
6,2023-09-22,Basic,Monthly,9.99,credit_card,North America,1,
7,2025-07-24,Standard,Monthly,19.99,bank_transfer,Asia,1,
8,2024-12-13,Basic,Monthly,9.99,paypal,North America,0,2025-11-05
9,2025-10-25,Standard,Annual,19.99,bank_transfer,Europe,1,
10,2025-08-11,Basic,Monthly,9.99,credit_card,Europe,1,
11,2023-09-01,Standard,Monthly,19.99,credit_card,Europe,1,
12,2023-03-27,Premium,Monthly,39.99,credit_card,North America,1,
13,2025-01-01,Standard,Monthly,19.99,credit_card,Asia,0,2025-07-02
14,2025-10-09,Standard,Monthly,19.99,credit_card,Europe,0,2025-12-12
15,2023-11-11,Basic,Monthly,9.99,paypal,North America,0,2024-12-11
16,2025-07-02,Premium,Monthly,39.99,credit_card,Oceania,1,
17,2025-06-22,Basic,Monthly,9.99,credit_card,South America,0,2025-10-14
18,2024-06-09,Standard,Monthly,19.99,bank_transfer,Asia,1,
19,2023-10-18,Standard,Monthly,19.99,credit_card,Europe,0,2024-08-22
20,2024-06-08,Basic,Monthly,9.99,paypal,North America,1,
21,2024-08-25,Basic,Monthly,9.99,credit_card,South America,1,
22,2024-06-20,Standard,Monthly,19.99,apple_pay,Europe,1,
23,2024-10-21,Basic,Monthly,9.99,credit_card,North America,1,
24,2023-06-29,Standard,Monthly,19.99,paypal,North America,1,
25,2025-03-02,Standard,Monthly,19.99,apple_pay,North America,1,
26,2025-09-24,Premium,Annual,39.99,credit_card,South America,1,
27,2024-12-27,Basic,Annual,9.99,credit_card,North America,1,
28,2024-08-08,Standard,Annual,19.99,bank_transfer,Europe,1,
29,2024-10-04,Standard,Monthly,19.99,credit_card,Asia,1,
