feature,rank,rf_importance,family,perm_importance_mean,perm_importance_std
session_minutes_trend,1,0.1204485273280534,engagement,0.007974421666353149,0.004030952758383189
purchases_last_30d,2,0.11106883239661125,purchase,0.01997098256266957,0.0076372494467368685
coefficient_of_variation_sessions,3,0.1092496791343657,consistency,0.012129557484080688,0.003385972431024294
logins_last_30d,4,0.08815846189760067,engagement,0.004505763185469747,0.005480917397707039
engagement_trend,5,0.06555681698593535,engagement,0.002528278567398334,0.004429842708511861
days_since_last_activity,6,0.047210387494687756,engagement,0.0017356726403181199,0.0028546144183968585
tenure_months,7,0.04699057927777999,retention,0.008161154249173774,0.00673817626848056
purchase_frequency_trend,8,0.0356306870245237,purchase,0.0027365055482414524,0.0024917808085979124
recency_days,9,0.033789432494782515,retention,-7.926059270805253e-05,0.002830753936117533
active_days,10,0.03288924828888657,engagement,0.003937505037749489,0.002021077585764247
total_logins,11,0.030869408312144114,engagement,0.0011781616916091253,0.0022470149041574194
total_spend,12,0.030417486754535445,purchase,0.002641124157016539,0.0019871713376051602
spend_trend,13,0.030372224137010205,purchase,0.0012439882855530215,0.0025385864579687573
total_purchases,14,0.02831491767734651,purchase,0.0049369945457964914,0.0017551327873900201
activity_gap_std,15,0.023828078928752987,consistency,0.0014051962707218979,0.0017302051671566731
purchase_frequency,16,0.023253830506632146,purchase,0.0009067949165748601,0.0009593276741902381
avg_session_minutes,17,0.020327228387036104,engagement,-0.0012493618850587418,0.0013655710955334422
avg_order_value,18,0.019835092605843978,purchase,0.000669013138450747,0.002399327222887739
logins_prev_30d,19,0.016819305672340742,engagement,-0.002105107606330081,0.0019960413301413783
purchases_prev_30d,20,0.01585691394016419,purchase,0.0008261909239903886,0.001167726725613329
active_weeks_ratio,21,0.014968901657738558,consistency,-0.0010196405061930868,0.0022375610430634173
support_tickets_count,22,0.01206804436579665,retention,0.0013111582793734144,0.0016106709051134766
region,23,0.011566634036397927,contractual,0.000400333163169353,0.0012414323295415718
payment_method,24,0.01061078391431723,contractual,-8.32907923372539e-05,0.001725155603500142
contract_type,25,0.007849048387120286,contractual,-0.0005951261452484258,0.000975090862497621
plan_type,26,0.00745162418330715,contractual,0.0013568338751712595,0.0008877220537467707
monthly_fee,27,0.004528579578940126,contractual,0.00026464977565218153,0.0005237554155984783
distinct_product_categories,28,6.9244631348688e-05,purchase,1.3433998764078581e-06,4.030199629223574e-06
late_or_missed_payments,29,0.0,retention,0.0,0.0
