threshold,precision,recall,f1,accuracy,predicted_churn_rate,meets_precision_floor,selected
0.05,0.3028169014084507,0.945054945054945,0.45866666666666667,0.594,0.568,False,False
0.06,0.3333333333333333,0.945054945054945,0.49283667621776506,0.646,0.516,False,False
0.07,0.34051724137931033,0.8681318681318682,0.4891640866873065,0.67,0.464,False,False
0.08,0.36574074074074076,0.8681318681318682,0.5146579804560261,0.702,0.432,False,False
0.09,0.4020618556701031,0.8571428571428571,0.5473684210526316,0.742,0.388,False,False
0.1,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.766,0.364,False,False
0.11,0.45294117647058824,0.8461538461538461,0.5900383141762452,0.786,0.34,False,False
0.12,0.4723926380368098,0.8461538461538461,0.6062992125984252,0.8,0.326,False,False
0.13,0.5032679738562091,0.8461538461538461,0.6311475409836066,0.82,0.306,False,False
0.14,0.5202702702702703,0.8461538461538461,0.6443514644351465,0.83,0.296,False,False
0.15,0.5507246376811594,0.8351648351648352,0.6637554585152838,0.846,0.276,False,False
0.16,0.5757575757575758,0.8351648351648352,0.6816143497757847,0.858,0.264,False,False
0.17,0.5846153846153846,0.8351648351648352,0.6877828054298643,0.862,0.26,False,False
0.18,0.59375,0.8351648351648352,0.6940639269406392,0.866,0.256,False,False
0.19,0.608,0.8351648351648352,0.7037037037037037,0.872,0.25,True,False
0.2,0.628099173553719,0.8351648351648352,0.7169811320754716,0.88,0.242,True,False
0.21,0.6386554621848739,0.8351648351648352,0.7238095238095238,0.884,0.238,True,True
0.22,0.646551724137931,0.8241758241758241,0.7246376811594203,0.886,0.232,True,False
0.23,0.6517857142857143,0.8021978021978022,0.7192118226600985,0.886,0.224,True,False
0.24,0.6728971962616822,0.7912087912087912,0.7272727272727273,0.892,0.214,True,False
0.25,0.6792452830188679,0.7912087912087912,0.7309644670050761,0.894,0.212,True,False
0.26,0.6857142857142857,0.7912087912087912,0.7346938775510204,0.896,0.21,True,False
0.27,0.6857142857142857,0.7912087912087912,0.7346938775510204,0.896,0.21,True,False
0.28,0.7029702970297029,0.7802197802197802,0.7395833333333334,0.9,0.202,True,False
0.29,0.696969696969697,0.7582417582417582,0.7263157894736842,0.896,0.198,True,False
0.3,0.71875,0.7582417582417582,0.7379679144385026,0.902,0.192,True,False
0.31,0.71875,0.7582417582417582,0.7379679144385026,0.902,0.192,True,False
0.32,0.7157894736842105,0.7472527472527473,0.7311827956989247,0.9,0.19,True,False
0.33,0.7157894736842105,0.7472527472527473,0.7311827956989247,0.9,0.19,True,False
0.34,0.7391304347826086,0.7472527472527473,0.7431693989071039,0.906,0.184,True,False
0.35,0.7386363636363636,0.7142857142857143,0.7262569832402235,0.902,0.176,True,False
0.36,0.7325581395348837,0.6923076923076923,0.711864406779661,0.898,0.172,True,False
0.37,0.7325581395348837,0.6923076923076923,0.711864406779661,0.898,0.172,True,False
0.38,0.7380952380952381,0.6813186813186813,0.7085714285714285,0.898,0.168,True,False
0.39,0.7469879518072289,0.6813186813186813,0.7126436781609196,0.9,0.166,True,False
0.4,0.7654320987654321,0.6813186813186813,0.7209302325581395,0.904,0.162,True,False
0.41,0.7721518987341772,0.6703296703296703,0.7176470588235294,0.904,0.158,True,False
0.42,0.7792207792207793,0.6593406593406593,0.7142857142857143,0.904,0.154,True,False
0.43,0.7866666666666666,0.6483516483516484,0.7108433734939759,0.904,0.15,True,False
0.44,0.7866666666666666,0.6483516483516484,0.7108433734939759,0.904,0.15,True,False
0.45,0.7916666666666666,0.6263736263736264,0.6993865030674846,0.902,0.144,True,False
0.46,0.7916666666666666,0.6263736263736264,0.6993865030674846,0.902,0.144,True,False
0.47,0.8028169014084507,0.6263736263736264,0.7037037037037037,0.904,0.142,True,False
0.48,0.8088235294117647,0.6043956043956044,0.6918238993710691,0.902,0.136,True,False
0.49,0.8088235294117647,0.6043956043956044,0.6918238993710691,0.902,0.136,True,False
0.5,0.8059701492537313,0.5934065934065934,0.6835443037974683,0.9,0.134,True,False
0.51,0.8059701492537313,0.5934065934065934,0.6835443037974683,0.9,0.134,True,False
0.52,0.796875,0.5604395604395604,0.6580645161290323,0.894,0.128,True,False
0.53,0.796875,0.5604395604395604,0.6580645161290323,0.894,0.128,True,False
0.54,0.7936507936507936,0.5494505494505495,0.6493506493506493,0.892,0.126,True,False
0.55,0.7936507936507936,0.5494505494505495,0.6493506493506493,0.892,0.126,True,False
0.56,0.7936507936507936,0.5494505494505495,0.6493506493506493,0.892,0.126,True,False
0.57,0.8032786885245902,0.5384615384615384,0.6447368421052632,0.892,0.122,True,False
0.58,0.7966101694915254,0.5164835164835165,0.6266666666666667,0.888,0.118,True,False
0.59,0.8070175438596491,0.5054945054945055,0.6216216216216216,0.888,0.114,True,False
0.6,0.8,0.4835164835164835,0.6027397260273972,0.884,0.11,True,False
0.61,0.7962962962962963,0.4725274725274725,0.593103448275862,0.882,0.108,True,False
